# MineGit legacy (1.8 numeric id+meta) -> flattened BlockState mapping table.
#
# Format (tab-separated): <blockId>\t<meta>\t<flattenedId>[\t<props>]
#   blockId, meta : 1.8 numeric ids (ints). meta is the data value (0-15).
#   flattenedId   : namespaced 1.13+ block id, e.g. minecraft:stone.
#   props         : optional, semicolon-separated key=value pairs (k1=v1;k2=v2).
#
# Lines starting with '#' and blank lines are ignored. This is the COMMON-blocks
# subset only; the full ~4000-entry table is a deferred data-fill follow-up.

0	0	minecraft:air

1	0	minecraft:stone
1	1	minecraft:granite
1	2	minecraft:polished_granite
1	3	minecraft:diorite
1	4	minecraft:polished_diorite
1	5	minecraft:andesite
1	6	minecraft:polished_andesite

2	0	minecraft:grass_block

3	0	minecraft:dirt
3	1	minecraft:coarse_dirt
3	2	minecraft:podzol

4	0	minecraft:cobblestone

5	0	minecraft:oak_planks
5	1	minecraft:spruce_planks
5	2	minecraft:birch_planks
5	3	minecraft:jungle_planks
5	4	minecraft:acacia_planks
5	5	minecraft:dark_oak_planks

7	0	minecraft:bedrock

12	0	minecraft:sand
12	1	minecraft:red_sand

13	0	minecraft:gravel

14	0	minecraft:gold_ore
15	0	minecraft:iron_ore
16	0	minecraft:coal_ore

17	0	minecraft:oak_log
17	1	minecraft:spruce_log
17	2	minecraft:birch_log
17	3	minecraft:jungle_log

18	0	minecraft:oak_leaves
18	1	minecraft:spruce_leaves
18	2	minecraft:birch_leaves
18	3	minecraft:jungle_leaves

20	0	minecraft:glass

24	0	minecraft:sandstone
24	1	minecraft:chiseled_sandstone
24	2	minecraft:cut_sandstone

35	0	minecraft:white_wool
35	1	minecraft:orange_wool
35	2	minecraft:magenta_wool
35	3	minecraft:light_blue_wool
35	4	minecraft:yellow_wool
35	5	minecraft:lime_wool
35	6	minecraft:pink_wool
35	7	minecraft:gray_wool
35	8	minecraft:light_gray_wool
35	9	minecraft:cyan_wool
35	10	minecraft:purple_wool
35	11	minecraft:blue_wool
35	12	minecraft:brown_wool
35	13	minecraft:green_wool
35	14	minecraft:red_wool
35	15	minecraft:black_wool

41	0	minecraft:gold_block
42	0	minecraft:iron_block

45	0	minecraft:bricks
46	0	minecraft:tnt
47	0	minecraft:bookshelf
48	0	minecraft:mossy_cobblestone
49	0	minecraft:obsidian

56	0	minecraft:diamond_ore
57	0	minecraft:diamond_block

73	0	minecraft:redstone_ore

79	0	minecraft:ice
80	0	minecraft:snow_block

82	0	minecraft:clay
84	0	minecraft:jukebox

87	0	minecraft:netherrack
88	0	minecraft:soul_sand
89	0	minecraft:glowstone

98	0	minecraft:stone_bricks
98	1	minecraft:mossy_stone_bricks
98	2	minecraft:cracked_stone_bricks
98	3	minecraft:chiseled_stone_bricks

103	0	minecraft:melon
112	0	minecraft:nether_bricks
121	0	minecraft:end_stone
129	0	minecraft:emerald_ore
133	0	minecraft:emerald_block
